num,player,season,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
5039,Cliff Williams,1968.000000,6.000000,1.000000,0.700000,0.600000,0.300000,1.550000,1.300000,19.500000,23.000000,0.458824,
5040,Clifford Wright,1990.000000,14.100000,1.000000,1.000000,0.300000,0.100000,1.100000,4.900000,2.000000,5.000000,0.285714,
5041,Clifford Wright,1989.000000,7.000000,0.000000,0.300000,0.000000,0.000000,0.500000,1.000000,4.000000,0.000000,1.000000,
5042,Clifford Ray,1980.000000,12.700000,3.300000,0.800000,0.400000,0.200000,1.100000,2.400000,15.500000,11.500000,0.574074,
5043,Clifford Ray,1979.000000,20.800000,5.800000,2.300000,0.600000,0.400000,1.900000,6.000000,15.500000,11.500000,0.574074,
5044,Clifford Ray,1978.000000,23.400000,7.400000,1.700000,0.600000,0.600000,1.900000,6.900000,15.500000,11.500000,0.574074,
5045,Clifford Ray,1977.000000,28.700000,9.600000,1.900000,0.900000,1.100000,1.900000,8.800000,15.500000,11.500000,0.574074,
5046,Clifford Ray,1976.000000,26.200000,8.000000,1.500000,1.000000,1.100000,1.250000,8.200000,15.500000,11.500000,0.574074,
5047,Clifford Ray,1975.000000,26.600000,9.500000,1.800000,1.000000,1.000000,1.250000,6.900000,15.500000,11.500000,0.574074,
5048,Clifford Ray,1974.000000,30.700000,10.600000,2.200000,1.200000,1.400000,1.250000,9.400000,15.500000,11.500000,0.574074,
5049,Clifford Ray,1973.000000,32.900000,12.200000,3.100000,0.700000,2.200000,1.250000,9.300000,15.500000,11.500000,0.574074,
5050,Clifford Ray,1972.000000,27.500000,10.900000,3.700000,0.450000,1.350000,1.250000,8.600000,15.500000,11.500000,0.574074,
5051,Clifford Ray,1971.000000,22.800000,10.600000,3.100000,0.450000,1.350000,1.250000,7.000000,15.500000,11.500000,0.574074,
5052,Clifford Robinson,2006.000000,19.100000,2.400000,1.000000,0.200000,0.500000,0.600000,4.100000,27.000000,23.000000,0.540000,
5053,Clifford Robinson,2005.000000,23.300000,3.300000,1.100000,0.600000,0.500000,0.800000,6.900000,49.000000,31.000000,0.612500,
5054,Clifford Robinson,2004.000000,23.800000,2.900000,1.500000,0.900000,0.700000,0.900000,7.500000,32.000000,39.000000,0.450704,
5055,Clifford Robinson,2004.000000,20.700000,3.300000,1.000000,0.600000,0.500000,0.900000,6.000000,20.000000,9.000000,0.689655,
5056,Clifford Robinson,2004.000000,26.000000,2.700000,1.800000,1.000000,0.900000,1.000000,8.500000,12.000000,30.000000,0.285714,
